hospital_id,hospital_name,state,hospital_city,hospital_zip,year,hospital_type,hospital_ownership,hospital_has_emergency_services,hospital_has_ehr_interoperability,hospital_overall_rating
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,36301,2021,Acute Care Hospitals,Government - Hospital District or Authority,1,,3.0
010005,MARSHALL MEDICAL CENTERS,AL,BOAZ,35957,2021,Acute Care Hospitals,Government - Hospital District or Authority,1,1.0,2.0
010006,NORTH ALABAMA MEDICAL CENTER,AL,FLORENCE,35630,2021,Acute Care Hospitals,Proprietary,1,1.0,2.0
010007,MIZELL MEMORIAL HOSPITAL,AL,OPP,36467,2021,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0,2.0
010008,CRENSHAW COMMUNITY HOSPITAL,AL,LUVERNE,36049,2021,Acute Care Hospitals,Proprietary,1,,2.0
010011,ST. VINCENT'S EAST,AL,BIRMINGHAM,35235,2021,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0,2.0
010012,DEKALB REGIONAL MEDICAL CENTER,AL,FORT PAYNE,35968,2021,Acute Care Hospitals,Proprietary,1,1.0,3.0
010016,SHELBY BAPTIST MEDICAL CENTER,AL,ALABASTER,35007,2021,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0,4.0
010018,CALLAHAN EYE HOSPITAL,AL,BIRMINGHAM,35233,2021,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0,
010019,HELEN KELLER HOSPITAL,AL,SHEFFIELD,35660,2021,Acute Care Hospitals,Government - Hospital District or Authority,1,1.0,3.0
010021,DALE MEDICAL CENTER,AL,OZARK,36360,2021,Acute Care Hospitals,Government - Hospital District or Authority,1,1.0,4.0
010022,CHEROKEE MEDICAL CENTER,AL,CENTRE,35960,2021,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0,
010023,BAPTIST MEDICAL CENTER SOUTH,AL,MONTGOMERY,36116,2021,Acute Care Hospitals,Government - Hospital District or Authority,1,1.0,2.0
010024,JACKSON HOSPITAL & CLINIC INC,AL,MONTGOMERY,36106,2021,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0,2.0
