"Notes","State","State Code","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","Black or African American","2054-5",17,1310802,Unreliable
,"Alabama","01","2018","2018","White","2106-3",33,3379955,1.0
,"Alabama","01","2019","2019","Black or African American","2054-5",28,1313291,2.1
,"Alabama","01","2019","2019","White","2106-3",36,3389396,1.1
,"Alabama","01","2020","2020","Black or African American","2054-5",22,1319751,1.7
,"Alabama","01","2020","2020","White","2106-3",12,3396053,Unreliable
,"Alabama","01","2021","2021","Black or African American","2054-5",21,1353084,1.6
,"Alabama","01","2021","2021","White","2106-3",30,3472742,0.9
,"Alabama","01","2022","2022","Black or African American","2054-5",16,1358620,Unreliable
,"Alabama","01","2022","2022","White","2106-3",Suppressed,3494189,Suppressed
,"Alabama","01","2023 ","2023","Black or African American","2054-5",16,1360275,Unreliable
,"Alabama","01","2023 ","2023","White","2106-3",10,3519476,Unreliable
,"Alaska","02","2018","2018","Black or African American","2054-5",0,27942,Unreliable
,"Alaska","02","2018","2018","White","2106-3",Suppressed,481879,Suppressed
,"Alaska","02","2019","2019","Black or African American","2054-5",Suppressed,27108,Suppressed
,"Alaska","02","2019","2019","White","2106-3",Suppressed,477488,Suppressed
,"Alaska","02","2020","2020","Black or African American","2054-5",0,26657,Unreliable
,"Alaska","02","2020","2020","White","2106-3",0,473485,Unreliable
,"Alaska","02","2021","2021","Black or African American","2054-5",0,26689,Unreliable
,"Alaska","02","2021","2021","White","2106-3",Suppressed,472939,Suppressed
,"Alaska","02","2022","2022","Black or African American","2054-5",0,26837,Unreliable
,"Alaska","02","2022","2022","White","2106-3",Suppressed,470101,Suppressed
,"Alaska","02","2023 ","2023","Black or African American","2054-5",Suppressed,26911,Suppressed
,"Alaska","02","2023 ","2023","White","2106-3",Suppressed,470497,Suppressed
,"Arizona","04","2018","2018","Black or African American","2054-5",Suppressed,364280,Suppressed
,"Arizona","04","2018","2018","White","2106-3",32,5937806,0.5
,"Arizona","04","2019","2019","Black or African American","2054-5",11,376997,Unreliable
,"Arizona","04","2019","2019","White","2106-3",28,6013442,0.5
,"Arizona","04","2020","2020","Black or African American","2054-5",Suppressed,395074,Suppressed
,"Arizona","04","2020","2020","White","2106-3",26,6105819,0.4
,"Arizona","04","2021","2021","Black or African American","2054-5",Suppressed,395177,Suppressed
,"Arizona","04","2021","2021","White","2106-3",23,5969037,0.4
,"Arizona","04","2022","2022","Black or African American","2054-5",Suppressed,407994,Suppressed
,"Arizona","04","2022","2022","White","2106-3",20,6024591,0.3
,"Arizona","04","2023 ","2023","Black or African American","2054-5",Suppressed,422598,Suppressed
,"Arizona","04","2023 ","2023","White","2106-3",18,6056359,Unreliable
,"Arkansas","05","2018","2018","Black or African American","2054-5",10,472287,Unreliable
,"Arkansas","05","2018","2018","White","2106-3",16,2385213,Unreliable
,"Arkansas","05","2019","2019","Black or African American","2054-5",Suppressed,473048,Suppressed
,"Arkansas","05","2019","2019","White","2106-3",15,2385258,Unreliable
,"Arkansas","05","2020","2020","Black or African American","2054-5",13,475874,Unreliable
,"Arkansas","05","2020","2020","White","2106-3",Suppressed,2388414,Suppressed
,"Arkansas","05","2021","2021","Black or African American","2054-5",Suppressed,475018,Suppressed
,"Arkansas","05","2021","2021","White","2106-3",21,2379596,0.9
,"Arkansas","05","2022","2022","Black or African American","2054-5",Suppressed,476278,Suppressed
,"Arkansas","05","2022","2022","White","2106-3",10,2391860,Unreliable
,"Arkansas","05","2023 ","2023","Black or African American","2054-5",10,478247,Unreliable
,"Arkansas","05","2023 ","2023","White","2106-3",Suppressed,2405736,Suppressed
,"California","06","2018","2018","Black or African American","2054-5",16,2556000,Unreliable
,"California","06","2018","2018","White","2106-3",86,28531740,0.3
,"California","06","2019","2019","Black or African American","2054-5",15,2552757,Unreliable
,"California","06","2019","2019","White","2106-3",70,28424739,0.2
,"California","06","2020","2020","Black or African American","2054-5",17,2555258,Unreliable
,"California","06","2020","2020","White","2106-3",57,28073011,0.2
,"California","06","2021","2021","Black or African American","2054-5",19,2548114,Unreliable
,"California","06","2021","2021","White","2106-3",76,27902177,0.3
,"California","06","2022","2022","Black or African American","2054-5",13,2531957,Unreliable
,"California","06","2022","2022","White","2106-3",40,27607325,0.1
,"California","06","2023 ","2023","Black or African American","2054-5",15,2528093,Unreliable
,"California","06","2023 ","2023","White","2106-3",39,27427713,0.1
,"Colorado","08","2018","2018","Black or African American","2054-5",Suppressed,259711,Suppressed
,"Colorado","08","2018","2018","White","2106-3",20,4959310,0.4
,"Colorado","08","2019","2019","Black or African American","2054-5",0,264479,Unreliable
,"Colorado","08","2019","2019","White","2106-3",22,5006612,0.4
,"Colorado","08","2020","2020","Black or African American","2054-5",Suppressed,269041,Suppressed
